@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
0.802393,-0.000000,0.00
0.755995,-0.000000,0.00
0.752602,-0.000000,0.00
0.799810,-0.000000,1.00
0.837522,-0.000000,1.00
0.861607,-0.000000,1.00
0.747999,-0.000000,0.00
0.815733,-0.000000,0.00
0.819819,-0.000000,1.00
0.732005,-0.000000,0.00
0.832424,-0.000000,0.00
0.588039,-0.000000,0.00
0.717597,-0.000000,1.00
0.612880,-0.000000,1.00
0.619370,-0.000000,0.00
0.694311,-0.000000,0.00
0.678866,-0.000000,1.00
0.577364,-0.000000,0.00
0.695823,-0.000000,1.00
0.708532,-0.000000,0.00
0.600565,-0.000000,0.00
0.697228,-0.000000,1.00
0.646897,-0.000000,0.00
0.585959,-0.000000,0.00
0.714788,-0.000000,0.00
0.600414,-0.000000,0.00
0.603633,-0.000000,1.00
0.643010,-0.000000,0.00
0.669644,-0.000000,0.00
0.695238,-0.000000,0.00
0.636470,-0.000000,0.00
0.641096,-0.000000,0.00
0.671757,-0.000000,0.00
0.915022,-0.000000,0.00
0.957491,-0.000000,1.00
0.976856,-0.000000,1.00
0.920648,-0.000000,1.00
0.893841,-0.000000,0.00
0.931645,-0.000000,1.00
0.903506,-0.000000,1.00
0.872437,-0.000000,1.00
0.911051,-0.000000,0.00
0.968410,-0.000000,0.00
0.986181,-0.000000,0.00
0.891371,-0.000000,0.00
0.540671,-0.000000,0.00
0.585771,-0.000000,0.00
0.566102,-0.011823,0.00
0.572353,-0.000000,0.00
0.548225,-0.000000,0.00
0.576006,-0.106636,0.00
0.546289,-0.000000,0.00
0.544628,-0.000000,0.00
0.999361,-0.000000,1.00
0.994129,-0.000000,0.00
0.994918,-0.000000,1.00
0.997791,-0.000000,1.00
0.999811,-0.000000,0.00
0.996452,-0.000000,1.00
0.879650,-0.000000,0.00
0.761593,-0.000000,0.00
0.798374,-0.000000,1.00
0.734449,-0.000000,0.00
0.784578,-0.000000,0.00
0.853849,-0.000000,0.00
0.858737,-0.000000,1.00
0.749379,-0.000000,0.00
0.831255,-0.000000,0.00
0.814245,-0.000000,0.00
0.761035,-0.000000,0.00
0.830934,-0.000000,1.00
0.846491,-0.000000,0.00
0.766765,-0.000000,0.00
0.784926,-0.000000,0.00
0.761404,-0.000000,0.00
0.728899,-0.000000,0.00
0.830050,-0.000000,0.00
0.791853,-0.000000,0.00
0.756858,-0.000000,1.00
0.748612,-0.000000,0.00
0.755995,-0.000000,0.00
0.716113,-0.000000,1.00
0.735559,-0.000000,1.00
0.771350,-0.000000,0.00
0.783326,-0.000000,0.00
0.820166,-0.000000,0.00
0.620476,-0.000000,1.00
0.641308,-0.000000,0.00
0.594735,-0.000000,0.00
0.664493,-0.000000,0.00
0.648606,-0.000000,1.00
0.706251,-0.000000,0.00
0.586807,-0.000000,0.00
0.592793,-0.000000,0.00
0.627651,-0.000000,0.00
0.640183,-0.000000,0.00
0.634227,-0.000000,0.00
0.661417,-0.000000,0.00
0.644924,-0.000000,1.00
0.611913,-0.000000,0.00
0.626922,-0.000000,0.00
0.667473,-0.000000,0.00
0.657658,-0.000000,0.00
0.612577,-0.000000,0.00
0.654180,-0.000000,0.00
0.690986,-0.000000,0.00
0.658465,-0.000000,0.00
0.615954,-0.000000,0.00
0.616369,-0.000000,0.00
0.611122,-0.000000,0.00
0.705970,-0.000000,0.00
0.713609,-0.000000,0.00
0.710014,-0.000000,0.00
0.686463,-0.000000,0.00
0.578281,-0.000000,0.00
0.706119,-0.000000,0.00
0.856629,-0.000000,0.00
0.939503,-0.000000,0.00
0.909829,-0.000000,0.00
0.934080,-0.000000,0.00
0.877137,-0.000000,0.00
0.862267,-0.000000,1.00
0.876346,-0.000000,0.00
0.886830,-0.003291,0.00
0.887830,-0.000000,0.00
0.928386,-0.000000,1.00
0.909099,-0.000000,1.00
