MatchDate,League,HomeTeam,AwayTeam,Label,SeasonPhase,LeagueId,EloDiff,ProbHome,ProbDraw,ProbAway,RankDifference,HomeCleanSheetRatio,AwayFTSRatio,AttackVsDefense,TotalScoringPotential,TotalDefensiveWeakness,DefenseVsAttack
9/9/2022,ΗΑΕ1,Αλ Μπατά,Αλ Γουάσλ,1,1,106,-37.0002,0.2119,0.2316,0.5565,0,0,0,1.2973,0.4,1.2397,0
9/9/2022,ΠΟΛ1,Βίτζεφ Λοτζ,Κρακοβία,0,1,55,-54.0745,0.308,0.2919,0.4001,1,0,0,1.6141,-0.5,2.2535,0
9/9/2022,ΓΕΡΛ,Γουάλντορφ,Φράιμπεργκ,0,1,17,-115.6761,0.3361,0.2543,0.4097,1,0,0,0.9784,-0.5,3.0693,0
9/9/2022,n/a,Κβίντιγκ  FIF,Όντεβολντ,1,1,65,-50.8873,0.2123,0.2388,0.5489,2,0,0,1.1705,0.3,1.8919,0
9/9/2022,ΚΙΝ1,Κουανγκτσόου Έβεργκραντ,Τιαντζίν Τέντα,0,1,28,16.5608,0.2871,0.2823,0.4306,1,0,0,0.6883,-0.3,1.2977,0
9/9/2022,ΑΡΠΛ,Λερναγίν Αρτσάκ,Αραράτ Ερεβάν,0,1,6,-52.0056,0.2958,0.3013,0.4029,0,0,0,1.0724,0.5,0.9419,0
9/9/2022,ΠΟΡΚ,Λουζιτάνια Άνγκρα,Πραϊένσε,1,1,209,-3.9757,0.2861,0.2413,0.4726,0,1.5,0,0.978,-0.3,0.9917,1.5
9/9/2022,ΑΛΓ1,Μαγκρά,Σετίφ,1,1,98,-73.7753,0.2789,0.3204,0.4007,0,0,0,1.4953,0,1.0989,0
9/9/2022,ΑΡΓ1,Μπαράκας Σέντραλ,Ατλέτικο Λανούς,0,1,15,87.709,0.3171,0.3058,0.3771,-1,0,0,0.5782,0,1.1258,0
9/9/2022,ΓΑΛ3,Μπαστιά Μπόργκο,Κονκαρνό,1,1,162,-160.4579,0.2105,0.2577,0.5318,0,0,0,1.7137,0.1,1.831,0
9/9/2022,ΒΟΥ1,Μπότεφ Πλόβντιβ,ΤΣΣΚΑ 1948,0,1,35,-138.4099,0.3163,0.2834,0.4003,2,0,0,1.2844,-1.2,2.3944,0
9/9/2022,ΒΕΛ2,Ντέντερ,Λίρσε Κεμπενζόνεν,1,1,78,-93.2803,0.3396,0.2561,0.4043,2,0,0,0.7083,-2,0.9106,0
9/9/2022,ΡΟΥ2,Ντιναμό Βουκουρεστίου,CSA Στεάουα,1,1,482,-128.0868,0.2523,0.2607,0.487,1,0,0,1.1507,-0.6,1.4414,0
9/9/2022,n/a,Ντιριάγκεν,Ντεπορτίβο Ολίμπια,1,1,65,-115.4559,0.2196,0.2941,0.4863,0,0,0,1.8214,-0.7,0.8197,0
9/9/2022,ΟΛΛ2,Ντόρντρεχτ,Ντεν Μπος,0,1,83,21.7961,0.3501,0.2594,0.3905,-1,0,0,0.7108,0.8,0.8901,0
9/9/2022,ΠΟΡ2,Ολιβεϊρένσε,Πεναφιέλ,0,1,135,-98.7784,0.2975,0.2823,0.4202,0,0,0,1.5081,0.6,1.7557,0
9/9/2022,ΙΤΑ2,Παλέρμο,Τζένοα,0,1,48,-3.8431,0.2942,0.2795,0.4263,0,0,0,1.5391,0,1.5385,0
9/9/2022,ΡΟΥ2,Προγκρεσούλ Σπαρτάκ,Οτελούλ,0,1,482,-17.3849,0.2909,0.2807,0.4284,0,0,0,1.8181,0.1,0.823,0
9/9/2022,n/a,Ρεάλ Εσπάνα,Χερεντιάνο,0,1,65,-83.3722,0.3172,0.3235,0.3593,0,0,0,1.5592,-0.7,1.0687,0
9/9/2022,ΟΚΡΝ,Ρουκχ Βινίκι,Ζόρια Λουγκάνσκ,0,1,59,-236.7057,0.2285,0.2705,0.501,2,0,0,0.5331,-0.7,0.9929,0
