@Relation test

@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE class {1.00,0.00}

@DATA
1.000000,22.000000,0.000000,0.681200,0.194500,0.124300,0.000000,1.500000,1.500000,0.973700,0.000000,0.991700,0.000000,0.00
1.000000,2.000000,0.000000,861.000000,0.099300,0.039700,0.000000,1.500000,1.500000,989.000000,0.000000,0.991700,0.000000,0.00
1.000000,31.000000,0.000000,0.860400,0.110800,0.028800,0.000000,1.500000,1.500000,0.943100,0.000000,0.991700,0.000000,0.00
1.000000,32.000000,0.000000,0.899600,0.076300,0.024200,0.000000,1.500000,1.500000,0.962100,0.000000,0.991700,0.000000,0.00
1.000000,33.000000,0.000000,0.733700,0.186400,0.080000,0.000000,1.500000,1.500000,0.892300,0.000000,0.991700,0.000000,0.00
1.000000,21.000000,0.000000,0.715500,0.174700,0.109800,0.000000,1.500000,1.500000,1.023700,0.000000,0.991700,0.000000,0.00
1.000000,16.000000,0.000000,0.665700,0.209200,125.000000,0.000000,1.500000,1.500000,0.988900,0.000000,0.991700,0.000000,1.00
1.000000,34.000000,0.000000,0.696800,0.221400,0.081800,0.000000,1.500000,1.500000,976.000000,0.000000,0.991700,0.000000,0.00
1.000000,35.000000,0.000000,0.781400,0.150700,0.067900,0.000000,1.500000,1.500000,1.006200,0.000000,0.991700,0.000000,0.00
1.000000,36.000000,0.000000,787.000000,0.128200,0.084800,0.000000,1.500000,1.500000,0.957200,0.000000,0.991700,0.000000,0.00
1.000000,37.000000,0.000000,0.124400,0.199400,0.676100,0.000000,1.500000,1.500000,0.922100,0.000000,0.991700,0.000000,1.00
1.000000,30.000000,0.000000,0.163100,0.241200,0.595700,0.000000,1.500000,1.500000,0.962200,0.000000,0.991700,0.000000,1.00
1.000000,38.000000,0.000000,0.036200,0.110100,0.853700,0.000000,1.500000,1.500000,1.016400,0.000000,0.991700,0.000000,1.00
1.000000,30.000000,0.000000,0.125100,0.186700,0.688200,0.000000,1.500000,1.500000,0.962200,0.000000,0.991700,0.000000,0.00
1.000000,39.000000,0.000000,0.154100,0.235800,0.610000,0.000000,1.500000,1.500000,0.957800,0.000000,0.991700,0.000000,1.00
1.000000,25.000000,0.000000,196.000000,0.207400,0.596600,0.000000,1.500000,1.500000,0.992700,0.000000,0.991700,0.000000,0.00
1.000000,40.000000,0.000000,0.084700,0.176400,0.738900,0.000000,1.500000,1.500000,1.018500,0.000000,0.991700,0.000000,0.00
